;;;;;
;;1;1;65;100
;;1;2;84;100
;;1;3;79;100
;;2;1;75;100
;;2;2;80;100
;;2;3;86;100
;;3;1;62;100
;;3;2;70;100
;;3;3;76;100
;;4;1;59;100
;;4;2;69;100
;;4;3;68;100
;;5;1;68;100
;;5;2;73;100
;;5;3;74;100
;;6;1;47;100
;;6;2;56;100
;;6;3;58;100
;;7;1;64;100
;;7;2;78;100
;;7;3;90;100
;;8;1;80;100
;;8;2;97;100
;;8;3;89;100
;;9;1;69;100
;;9;2;75;100
;;9;3;76;100
;;10;1;69;100
;;10;2;72;100
;;10;3;81;100
;;11;1;80;100
;;11;2;92;100
;;11;3;84;100
;;12;1;71;100
;;12;2;89;100
;;12;3;79;100
;;13;1;58;100
;;13;2;68;100
;;13;3;76;100
;;14;1;73;100
;;14;2;78;100
;;14;3;74;100
